id|school|sex|age|address|famsize|Pstatus|Medu|Fedu|Mjob|Fjob|reason|guardian|traveltime|studytime|failures|schoolsup|famsup|paid|activities|nursery|higher|internet|romantic|famrel|freetime|goout|Dalc|Walc|health|absences|pass
465|MS|F|18|U|GT3|T|1|2|other|other|course|father|1|2|1|no|yes|no|yes|yes|yes|yes|yes|3|4|4|2|3|5|9|False
174|GP|M|17|R|LE3|T|2|1|at_home|other|course|mother|2|1|1|no|no|yes|yes|yes|no|yes|yes|3|3|2|2|2|5|8|False
502|MS|M|17|R|LE3|T|2|2|services|services|other|mother|3|4|1|no|yes|no|no|yes|yes|no|no|1|3|5|3|5|3|2|False
579|MS|M|18|U|LE3|T|1|3|at_home|services|course|mother|1|1|0|no|no|no|no|yes|no|yes|yes|4|3|3|2|3|3|0|False
530|MS|M|17|U|GT3|T|3|3|services|services|home|mother|1|1|0|no|yes|no|yes|yes|yes|yes|no|4|1|4|5|5|3|8|False
478|MS|F|16|R|GT3|T|1|1|at_home|other|course|father|2|2|3|yes|yes|no|no|yes|yes|no|no|3|4|3|1|1|1|0|False
569|MS|M|18|U|GT3|T|3|3|at_home|at_home|course|mother|1|2|2|no|yes|no|yes|yes|no|yes|no|4|4|5|1|3|3|9|False
125|GP|M|15|U|GT3|T|3|4|services|services|home|father|1|1|0|yes|no|no|no|yes|yes|yes|no|5|5|5|3|2|5|2|False
588|MS|F|17|U|GT3|T|4|1|health|at_home|course|mother|1|1|0|no|yes|no|no|yes|yes|no|yes|3|2|2|1|1|5|0|False
441|MS|M|17|U|GT3|T|1|1|other|other|home|mother|1|2|0|no|no|yes|no|no|yes|yes|no|4|4|3|2|4|5|4|False
646|MS|F|18|U|GT3|T|1|1|other|other|course|mother|2|2|0|no|no|no|yes|yes|yes|no|no|1|1|1|1|1|5|6|False
168|GP|M|15|R|GT3|T|2|3|at_home|services|course|mother|1|2|0|yes|no|yes|yes|yes|yes|no|no|4|4|4|1|1|1|0|False
632|MS|F|19|R|GT3|T|1|1|at_home|other|course|other|2|2|1|no|yes|no|no|yes|yes|yes|yes|4|3|3|1|1|3|4|False
583|MS|F|18|R|GT3|T|2|2|other|other|other|mother|2|1|1|no|no|no|no|yes|no|yes|yes|5|5|5|1|1|3|0|False
248|GP|M|16|U|LE3|T|1|1|other|other|home|mother|2|2|0|no|yes|no|no|yes|yes|yes|no|3|4|2|1|1|5|2|False
52|GP|M|15|U|LE3|A|4|2|health|health|other|father|2|1|0|no|no|no|no|yes|yes|no|no|5|5|5|3|4|5|4|False
512|MS|F|18|R|GT3|T|1|1|at_home|other|other|mother|1|2|1|no|yes|no|no|yes|yes|yes|yes|4|3|2|1|1|5|9|False
175|GP|M|17|R|GT3|T|3|2|other|other|course|mother|2|2|2|yes|yes|no|no|yes|yes|yes|yes|4|4|4|1|4|3|4|False
637|MS|M|18|R|GT3|T|2|1|other|other|other|mother|2|1|0|no|no|no|yes|no|yes|yes|yes|4|4|3|1|3|5|0|False
150|GP|F|15|U|GT3|A|3|3|services|services|home|mother|1|2|0|no|no|no|no|no|yes|no|yes|1|3|2|2|3|1|24|False
370|GP|F|19|U|LE3|A|1|1|other|other|course|other|3|2|2|no|yes|no|no|no|yes|yes|yes|5|3|4|1|1|4|2|False
519|MS|M|16|R|GT3|T|2|1|other|services|reputation|mother|2|2|0|no|no|no|yes|yes|yes|yes|no|5|2|1|1|1|2|0|False
629|MS|F|17|R|GT3|T|1|2|other|other|course|mother|1|1|0|no|no|no|yes|yes|yes|yes|no|3|5|5|1|3|1|4|False
284|GP|M|18|U|GT3|T|2|1|services|services|other|mother|1|1|2|no|no|no|no|no|no|yes|no|3|2|5|2|5|5|4|False
500|MS|M|17|U|GT3|T|1|2|other|other|course|father|1|1|1|no|yes|no|yes|yes|no|yes|yes|5|3|5|5|5|1|12|False
81|GP|M|15|U|GT3|T|2|3|other|other|home|mother|1|3|0|yes|no|no|no|no|yes|yes|no|5|3|2|1|2|5|2|False
570|MS|M|16|R|GT3|T|2|2|services|services|course|mother|2|1|0|no|yes|no|yes|yes|yes|yes|yes|5|4|3|2|4|4|6|False
262|GP|F|17|R|LE3|A|1|4|other|other|course|other|4|1|1|no|yes|no|no|yes|yes|yes|no|5|5|4|1|1|5|14|False
239|GP|F|18|R|GT3|T|3|1|other|other|reputation|mother|1|2|0|no|no|no|yes|yes|yes|yes|yes|5|3|3|1|1|4|4|False
279|GP|M|22|U|GT3|T|3|1|services|services|other|mother|1|1|3|no|no|no|no|no|no|yes|yes|5|4|5|5|5|1|12|False
179|GP|M|17|U|GT3|T|3|2|services|services|course|mother|2|1|3|no|yes|no|yes|no|no|no|no|4|5|2|1|1|2|10|False
172|GP|M|16|U|GT3|T|3|3|other|services|course|father|1|2|1|no|yes|no|no|yes|yes|yes|yes|4|5|5|4|4|5|0|False
482|MS|F|15|R|LE3|T|1|1|at_home|other|course|mother|2|1|0|no|yes|no|no|yes|no|no|yes|5|2|1|1|3|4|0|False
640|MS|M|18|R|GT3|T|4|2|other|other|home|father|2|1|1|no|no|yes|no|yes|yes|no|no|5|4|3|4|3|3|0|False
494|MS|F|16|R|LE3|T|1|2|at_home|other|course|mother|1|2|0|no|no|no|yes|yes|no|yes|no|4|4|5|1|3|3|0|False
100|GP|M|16|U|GT3|T|4|4|services|services|other|mother|1|1|0|yes|yes|no|yes|yes|yes|yes|no|4|5|5|5|5|4|12|False
155|GP|M|17|U|GT3|T|2|1|other|other|home|mother|1|1|0|no|yes|no|no|yes|yes|yes|no|5|4|5|1|2|5|22|False
524|MS|F|16|R|LE3|T|3|4|at_home|other|other|mother|3|2|0|no|yes|no|no|no|yes|no|no|4|2|1|1|1|2|2|False
603|MS|F|18|R|LE3|A|4|2|teacher|other|reputation|mother|1|2|0|no|no|no|yes|yes|yes|yes|yes|5|3|1|1|1|5|0|False
605|MS|F|19|U|GT3|T|1|1|at_home|services|other|father|2|1|1|no|no|no|no|yes|no|no|no|5|5|5|2|3|2|0|False
528|MS|F|17|R|GT3|T|2|2|at_home|other|other|mother|1|1|0|no|yes|yes|no|yes|yes|yes|no|5|1|3|1|2|5|5|False
590|MS|F|18|U|GT3|T|1|1|other|other|course|mother|3|2|2|no|no|no|yes|yes|yes|no|yes|3|4|4|2|2|5|3|False
455|MS|F|15|U|GT3|T|2|1|at_home|other|home|mother|1|2|0|yes|yes|no|no|no|yes|yes|no|4|4|2|3|3|2|0|False
545|MS|M|17|U|GT3|T|3|4|services|other|other|mother|1|2|1|no|yes|no|yes|no|yes|yes|yes|5|4|4|3|4|5|8|False
440|MS|M|16|U|GT3|T|1|1|at_home|services|home|mother|2|2|0|no|yes|no|yes|yes|yes|no|yes|5|4|5|4|5|3|0|False
256|GP|M|18|U|GT3|T|2|2|other|at_home|course|other|1|1|1|no|yes|no|yes|no|no|yes|yes|4|4|3|2|2|1|26|False
508|MS|M|17|R|GT3|T|2|2|other|other|course|mother|3|1|1|no|yes|no|no|no|yes|yes|no|4|4|5|1|2|5|0|False
626|MS|F|18|R|GT3|T|4|4|other|teacher|other|father|3|2|0|no|yes|no|no|no|yes|yes|yes|3|2|2|4|2|5|0|False
572|MS|F|16|U|GT3|A|3|2|services|at_home|course|mother|2|2|2|no|yes|no|yes|yes|yes|no|yes|2|5|5|1|1|1|8|False
177|GP|M|16|U|GT3|T|1|3|at_home|services|course|father|1|1|1|no|no|no|no|yes|no|yes|no|5|3|3|1|4|2|2|False
14|GP|M|15|U|GT3|A|2|2|other|other|home|other|1|3|0|no|yes|no|no|yes|yes|yes|yes|4|5|2|1|1|3|0|True
266|GP|F|17|U|LE3|A|4|2|teacher|other|course|mother|1|2|0|no|yes|no|yes|yes|yes|no|no|4|3|2|1|1|4|4|True
67|GP|F|16|U|GT3|T|3|1|services|other|course|mother|1|4|0|yes|yes|no|no|yes|yes|yes|no|4|3|3|1|2|5|0|True
97|GP|F|16|U|GT3|T|2|1|other|other|course|mother|1|2|0|no|yes|no|no|yes|yes|no|yes|4|3|5|1|1|5|0|True
642|MS|F|17|U|GT3|T|4|3|teacher|other|other|mother|2|2|0|no|no|no|no|yes|yes|yes|no|5|5|4|1|1|1|0|True
59|GP|F|16|U|GT3|T|4|2|services|other|course|mother|1|2|0|no|yes|yes|no|yes|yes|yes|no|4|2|3|1|1|5|2|True
526|MS|F|17|R|GT3|T|4|1|other|other|other|mother|1|1|0|no|no|no|no|yes|yes|yes|yes|4|2|3|1|2|5|1|True
480|MS|F|19|U|GT3|T|2|3|at_home|services|course|other|1|1|1|no|no|no|no|yes|no|yes|yes|4|4|4|1|1|2|0|True
416|GP|M|17|U|LE3|A|3|2|other|other|reputation|mother|1|2|0|no|yes|no|no|yes|yes|yes|no|4|4|4|1|2|5|10|True
427|MS|F|16|R|GT3|T|2|3|at_home|services|course|mother|2|2|0|no|no|no|no|yes|yes|no|no|4|5|2|1|2|5|0|True
280|GP|M|18|R|LE3|T|3|3|other|services|course|mother|1|2|0|no|yes|no|no|yes|yes|yes|yes|4|3|3|1|3|5|8|True
50|GP|F|16|U|LE3|T|2|2|services|services|course|mother|3|2|0|no|yes|no|no|yes|yes|yes|no|4|3|3|2|3|4|0|True
641|MS|F|18|R|GT3|T|2|2|at_home|other|other|mother|2|3|0|no|no|no|no|yes|yes|no|no|5|3|3|1|3|4|0|True
203|GP|M|17|R|GT3|T|1|2|at_home|other|home|mother|1|2|0|no|no|no|no|yes|yes|no|no|3|1|3|1|5|3|6|True
157|GP|F|15|U|LE3|A|2|1|at_home|other|home|mother|2|1|0|no|yes|no|yes|yes|no|yes|yes|4|4|2|1|1|5|0|True
381|GP|F|17|U|GT3|T|4|4|teacher|teacher|course|mother|2|3|0|no|yes|no|no|no|yes|yes|yes|4|3|3|1|2|4|4|True
137|GP|F|16|U|GT3|A|2|2|other|other|home|mother|1|1|1|no|no|no|no|yes|yes|no|no|5|3|4|1|1|5|12|True
355|GP|F|17|U|GT3|T|2|3|other|other|course|father|2|2|0|no|no|no|yes|yes|yes|yes|yes|4|2|1|1|1|3|2|True
55|GP|F|16|U|GT3|A|2|1|other|other|other|mother|1|2|0|no|no|no|yes|yes|yes|yes|yes|5|3|4|1|1|2|2|True
194|GP|M|16|U|GT3|T|4|3|teacher|other|home|mother|1|2|0|no|yes|yes|yes|yes|yes|yes|no|3|4|3|2|3|3|4|True
396|GP|M|18|U|LE3|T|3|4|services|other|home|mother|1|2|0|no|no|no|yes|yes|yes|yes|yes|4|3|3|1|3|5|6|True
525|MS|M|17|U|LE3|T|4|4|other|services|home|mother|1|3|0|no|yes|no|no|yes|yes|yes|no|4|4|3|1|2|5|0|True
37|GP|M|16|R|GT3|A|4|4|other|teacher|reputation|mother|2|3|0|no|yes|no|yes|yes|yes|yes|yes|2|4|3|1|1|5|4|True
564|MS|M|16|R|GT3|T|3|2|services|other|course|father|2|1|0|no|no|no|no|yes|yes|yes|no|4|5|5|2|3|5|2|True
119|GP|M|15|U|GT3|T|3|4|other|other|reputation|father|1|1|0|no|no|no|no|yes|yes|yes|no|3|4|3|1|2|4|2|True
126|GP|F|15|U|LE3|A|3|4|other|other|home|mother|1|2|0|yes|no|no|yes|yes|yes|yes|yes|5|3|2|1|1|1|0|True
